size	var
KU747147_CO1_Terua_sp._SD-2016	2.484906649788	NA
FJ937283_CO1_Idas_sp._T_JL-2009	1.82454929205105	NA
AB170040_CO1_Adipicola_pacifica	3.36156563567165	18.5046600290012
AB257526_CO1_Adipicola_pacifica	3.29583686600433	NA
FJ937033_CO1_Terua_arcuatilis	3.36729582998647	NA
AF456317_CO1_Bathymodiolus_sp._RCV-2003	3.54065451696117	353.894669110071
AF456309_CO1_Bathymodiolus_sp._RCV-2003	3.54065451696117	353.894669110071
MN986851_CO1_Bathymodiolus_earlougheri	4.99923724914389	NA
MN986815_CO1_Bathymodiolus_billschneideri	5.24248748158737	NA
MN895206_CO1_Bathymodiolus_nancyschneiderae	5.20219185445065	NA
FJ890503_CO1_Bathymodiolus_boomerang	5.88610403145016	NA
AY649794_CO1_Bathymodiolus_heckerae	5.4380793089232	NA
AY649793_CO1_Bathymodiolus_heckerae	5.43794538568036	0.00754680233717812
AY649796_CO1_Bathymodiolus_puteoserpentis	4.94875989037817	NA
AY649795_CO1_Bathymodiolus_azoricus	4.79579054559674	NA
AY649798_CO1_Bathymodiolus_brooksi	5.19295685089021	NA
AY649799_CO1_Bathymodiolus_brevior	4.9416424226093	NA
AB101425_CO1_Bathymodiolus_septemdierum	4.57702555274181	23.0067137281591
AY275544_CO1_Bathymodiolus_brevior	4.96633503519968	NA
AY275543_CO1_Bathymodiolus_aff._brevior	4.45434729625351	NA
AB101430_CO1_Bathymodiolus_septemdierum	5.05624580534831	NA
LM992892_CO1_Idas_argenteus	2.07944154167984	NA
FJ937191_CO1_Idas_sp._K_JL-2009	1.79175946922805	NA
FJ937206_CO1_Idas_sp._O_JL-2009	1.90210752639692	NA
FJ937213_CO1_Idas_sp._P_JL-2009	2.16332302566054	NA
FJ937271_CO1_Idas_sp._SAL1	2.07944154167984	NA
DQ340775_CO1_Idas_sp._SAL1	2.07944154167984	NA
FJ937203_CO1_Idas_sp._N_JL-2009	2.30258509299405	NA
HF545100_CO1_Idas_iwaotakii	2.89595853335711	0.00428993137515462
EU702333_CO1_Idas_iwaotakii	2.89591193827178	NA
EU702322_CO1_Idas_iwaotakii	3.23483919056418	43.4641612760895
EF210072_CO1_Idas_sp._SSD-2007	2.70805020110221	NA
AY649804_CO1_Idas_macdonaldi	1.90210752639692	NA
HF545116_CO1_Idas_sp._ESU_D	3.20245887106704	49.1660303940701
EU702357_CO1_Idas_sp._D_JL-2008	2.74727091425549	NA
EU702350_CO1_Idas_sp._D_JL-2008	2.74736435552558	0.00699098389860499
EU702360_CO1_Idas_sp._C_JL-2008	2.98279772388196	15.4399287763545
EU702375_CO1_Idas_sp._C_JL-2008	2.98279772388196	15.4399287763545
EU702376_CO1_Idas_sp._C_JL-2008	2.81540871942271	NA
FJ937193_CO1_Idas_sp._L_JL-2009	2.15176220325946	NA
FJ937202_CO1_Idas_sp._M_JL-2009	2.37954613413017	NA
FJ937073_CO1_Idas_japonicus	2.30258509299405	NA
FJ937060_CO1_Idas_japonicus	2.52164342990271	0.00444661011882601
AB257536_CO1_Idas_japonicus	3.09104245335832	NA
FJ937182_CO1_Idas_sp._I_JL-2009	2.15176220325946	NA
FJ937190_CO1_Idas_sp._J_JL-2009	3.09104245335832	NA
EU350070_CO1_Idas_sp._J_JL-2009	3.09080137133411	0.0127879213793422
FJ937189_CO1_Idas_sp._J_JL-2009	2.30258509299405	NA
EU350072_CO1_Adipicola_longissima	3.73766961828337	NA
