estimate.size	estimate.diaphragm	estimate.palp	variance.size	variance.diaphragm	variance.palp
AB055209_CO1_Lamellibrachia_sp_L4	6.62290903403937	3.89925922270083	2.98413549054174	1.27145716227287	0.388958849268433	0.729101974500183
AB088674_CO1_Lamellibrachia_sp_L6	6.62290903403937	3.89925922270083	2.98413549054174	1.27145716227287	0.388958849268433	0.729101974500183
AB055210_CO1_Lamellibrachia_sp_L5	6.62290903403937	3.89925922270083	2.98413549054174	1.27145716227287	0.388958849268433	0.729101974500183
D50592_CO1_Lamellibrachia_sp	6.63411683297374	3.93638171285535	2.9562136648253	1.15465060654775	0.353648867317969	0.698071630330566
AY129124_CO1_Lamellibrachia_cf_luymesi	8.00636756765025	4.14313472639153	2.79116510781272	NA	NA	NA
AY129132_CO1_Lamellibrachia_cf_luymesi	7.78498045249319	4.15385850013897	2.76474095334359	0.122461242884806	0.0445592596467173	0.128249475660635
HQ154525_CO1_Lamellibrachia_sp_Lam1	6.39692965521615	4.39444915467244	2.56494935746154	NA	NA	NA
HQ154526_CO1_Lamellibrachia_sp_Lam2	6.39692965521615	4.4188406077966	2.56494935746154	NA	NA	NA
HQ396891_CO1_Lamellibrachia_sp_DBUA_01146	6.17378610390194	4.42232423388393	2.15176220325946	NA	0.0214702878600399	NA
MH670807_CO1_Lamellibrachia_donwalshi	5.57972982598622	4.24849524204936	2.19722457733622	NA	NA	NA
U74078_CO1_Basibranchia_sp_Mariana_Trough	6.63994585434634	3.9629028203332	2.93171591835674	1.07118400966861	0.328990973641009	0.673609963281316
AB088675_CO1_Lamellibrachia_sp_L7	6.43133108193348	3.7635229971097	2.55722731136763	NA	NA	NA
AB264601_CO1_Lamellibrachia_juni	6.43133108193348	3.7635229971097	2.55722731136763	NA	NA	NA
AF317287_CO1_Seepiophila_jonesi	6.94697599213542	3.95316494875932	2.4932054526027	NA	NA	NA
AY129134_CO1_Escarpia_sp_GB425_GoM	6.84193009195413	3.23998016712647	2.52927976025433	1.15930728757977	0.355437005460201	0.694629845897798
AY326303_CO1_Escarpia_southwardae	7.52833176670725	3.40784192438082	2.05412373369555	NA	NA	NA
KJ566960_CO1_Escarpia_sp_SP_2014	7.14946871977699	3.17890151474505	2.19965717668691	0.046496398164785	0.017273490050943	0.0503766517354856
U74063_CO1_Escarpia_laminata	6.79682371827486	2.95491027903374	2.32238772029023	NA	NA	NA
JN021267_CO1_Escarpia_sp_1_JMP_2012	7.14713843441022	3.18257374645557	2.20659573671593	0.0744659966432426	0.0274075530706808	0.0792903669574907
KP203873_CO1_Escarpia_sp_MNHN_IU_2013_77	6.73144796358312	3.2788423335735	2.63175256333231	1.52005738440699	0.465769706124314	0.783271811280892
KP203874_CO1_Escarpia_sp_MNHN_IU_2013_78	6.73144796358312	3.2788423335735	2.63175256333231	1.52005738440699	0.465769706124314	0.783271811280892
AB073491_CO1_Arcovestia_ivanovi	5.88610403145016	2.4423470353692	2.39789527279837	NA	NA	NA
AB088670_CO1_cf_Alaysia_sp_A1	5.73700678199828	2.62999827194938	2.34740297524931	1.25876230293296	0.391152184139492	0.714410663911546
AB088671_CO1_cf_Alaysia_sp_A2	5.73700678199828	2.62999827194938	2.34740297524931	1.25876230293296	0.391152184139492	0.714410663911546
AB088673_CO1_cf_Alaysia_sp_A4	5.73700678199828	2.62999827194938	2.34740297524931	1.25876230293296	0.391152184139492	0.714410663911546
AB242857_CO1_Oasisia_fujikurai	4.81218435537242	1.54756250871601	0.78845736036427	NA	NA	NA
FJ667533_CO1_Oasisia_sp_SBJ_2009	4.88292997454441	1.73773785417793	1.44202758528256	1.07444994640739	0.328882977412693	0.673394207100739
U74069_CO1_Oasisia_alvinae	4.81218435537242	1.6094379124341	1.50407739677627	NA	NA	NA
FJ667534_CO1_Oasisia_sp_SBJ_2009	4.89193305081851	1.81477551318726	1.66126315653648	1.04709392546124	0.321099202743762	0.664750879477066
FJ667535_CO1_Oasisia_sp_SBJ_2009	5.25177673230217	2.26239848373772	2.05906741164974	1.96696999849926	0.621274210641395	0.87058842213273
U74056_CO1_Ridgeia_sp_Southern_Explorer_Ridge	7.51646292785272	3.44030845236665	3.67289022240411	0.0726659867714847	0.026784906362799	0.0772668900764801
U74073_CO1_Ridgeia_piscesae	7.54960916515453	3.43398720448515	3.72569342723665	NA	NA	NA
U74075_CO1_Tevnia_jerichonana	5.8111409929767	2.94443897916644	2.30258509299405	NA	NA	NA
U74074_CO1_Riftia_pachyptila	7.88382321489215	4.90527477843843	5.52545293913178	NA	NA	NA
AB259569_CO1_Osedax_japonicus	4.61725792725069	2.17475172148416	1.94591014905531	1.46180153471926	NA	NA
DQ996629_CO1_Osedax_sp_3_SBJ_2006	4.59597160866511	2.07944154167984	2.30258509299405	1.45012278890922	NA	NA
EU223340_CO1_Osedax_sp_orange_collar	4.92274325717369	2.39789527279837	2.484906649788	1.45012278890922	NA	NA
AY827562_CO1_Osedax_mucofloris	4.48889691661693	2.07944154167984	1.79175946922805	1.46257070724684	NA	NA
FJ347615_CO1_Osedax_sp_white_collar	3.90239500337301	1.6094379124341	1.50407739677627	1.46652856298469	NA	NA
FM998109_CO1_Osedax_sp_sagami_7	3.9060899875563	1.6047666708232	1.52853661430633	1.49150690595012	0.0386038486909039	0.109855437671754
JX280613_CO1_Osedax_sp_MB16	3.97075183129488	1.61373482518742	1.77773181305072	2.06112723634413	0.520129194335331	0.799336709520012
AY586495_CO1_Osedax_frankpressi	4.02571012145873	1.50407739677627	2.2512917986065	1.46300639723227	NA	NA
LC106303_CO1_Osedax_sp_1336_61_2	5.33266782337313	3.04844174632484	0.501573116197569	1.47605285309815	0.021151318539657	0.0612128622293882
LC381421_CO1_Osedax_braziliensis	5.33342041207776	3.09104245335832	0.405465108108164	1.46300639723227	NA	NA
EU223307_CO1_Osedax_rubiplumus	4.28358656186063	3.63758615972639	3.04452243772342	NA	NA	NA
FM998082_CO1_Osedax_sp_sagami_4	4.80184778532995	2.39976145340571	2.30285784125894	3.18680336371757	1.21318903894248	1.08985631374983
JF509949_CO1_Osedax_roseus	4.67631370068664	1.96009478404727	4.0943445622221	1.46589011889843	NA	NA
FM998081_CO1_Osedax_sp_sagami_3	4.37989936066551	1.9836525358335	2.04607420143798	3.55999542004037	1.43016385188431	1.16281600799223
MH616012_CO1_Osedax_sp_BioSuOr_4	4.37989936066551	1.9836525358335	2.04607420143798	3.55999542004037	1.43016385188431	1.16281600799223
MT556178_CO1_Osedax_fenrisi	4.37989936066551	1.9836525358335	2.04607420143798	3.55999542004037	1.43016385188431	1.16281600799223
JX280609_CO1_Osedax_sp_MB17	3.63226280844376	1.38629436111989	1.50407739677627	1.46687996178375	NA	NA
EU223356_CO1_Osedax_sp_nude_palp_A	1.79175946922805	-0.287682072451781	1.09861228866811	NA	NA	NA
EU236218_CO1_Osedax_sp_nude_palp_B	2.3717007697605	0.353863338168614	1.09670241231416	3.4440987323506	1.35669363867213	1.13806998715782
KP119563_CO1_Osedax_sp_Nude_palp_G	1.17766485674723	-0.510825623765991	-0.356674943938732	1.46628774495912	NA	NA
FJ347643_CO1_Osedax_sp_nude_palp_F	3.68887945411394	0.405465108108164	3.2188758248682	NA	NA	NA
